epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1571,1.60257,8.60615,1.45752,0.09798,0.16804,0.08831,0.05521,1.53706,6.45264,1.28546,0.000273964,0.000273964,0.000273964
2,119.199,1.53972,5.54628,1.39745,0.35359,0.16332,0.06159,0.02859,1.96947,7.05352,1.56373,0.000551496,0.000551496,0.000551496
3,176.202,1.64112,5.56901,1.48358,0.21734,0.19346,0.06745,0.03603,1.89076,6.5228,1.60609,0.000828488,0.000828488,0.000828488
4,233.655,1.63135,5.32678,1.47459,0.25353,0.2117,0.08775,0.04052,1.91545,6.13959,1.57943,0.00083117,0.00083117,0.00083117
5,290.073,1.63076,5.23096,1.47461,0.19506,0.21019,0.1009,0.05578,1.73584,5.25627,1.4361,0.000829749,0.000829749,0.000829749
6,347.061,1.60303,5.21108,1.4534,0.31527,0.20809,0.11263,0.06097,1.84806,5.21114,1.51827,0.000827923,0.000827923,0.000827923
7,404.008,1.57214,5.01855,1.41109,0.55931,0.14333,0.13041,0.07399,1.77816,5.5972,1.46807,0.000825696,0.000825696,0.000825696
8,460.796,1.62034,5.11577,1.44534,0.31313,0.15585,0.11315,0.06473,1.80966,6.15579,1.47782,0.00082307,0.00082307,0.00082307
9,518.188,1.61144,4.92091,1.43087,0.32074,0.18807,0.12896,0.06922,1.84533,5.04644,1.4846,0.000820046,0.000820046,0.000820046
10,574.234,1.62422,4.93132,1.44734,0.27902,0.21095,0.12994,0.07336,1.85986,5.08398,1.47337,0.000816628,0.000816628,0.000816628
11,631.088,1.55373,4.7933,1.39826,0.16937,0.24733,0.14939,0.08577,1.77129,4.92249,1.4428,0.000812819,0.000812819,0.000812819
12,688.674,1.56164,4.82941,1.41797,0.20059,0.21137,0.14984,0.08159,1.83787,4.78785,1.46483,0.000808623,0.000808623,0.000808623
13,745.576,1.54144,4.66508,1.40042,0.17187,0.21498,0.13091,0.07473,1.73403,4.91883,1.41668,0.000804044,0.000804044,0.000804044
14,802.589,1.55257,4.62563,1.40206,0.17236,0.22739,0.15037,0.08666,1.72779,4.78719,1.42913,0.000799087,0.000799087,0.000799087
15,862.108,1.52714,4.49105,1.38593,0.19496,0.23047,0.16221,0.09581,1.70054,4.81789,1.39033,0.000793757,0.000793757,0.000793757
16,922.099,1.52827,4.48862,1.3784,0.16918,0.2478,0.15808,0.08987,1.66423,4.89003,1.39187,0.000788058,0.000788058,0.000788058
17,978.699,1.48734,4.37825,1.36828,0.16466,0.24052,0.13209,0.06755,1.83176,5.51309,1.47554,0.000781997,0.000781997,0.000781997
18,1034.95,1.50087,4.24725,1.36354,0.1635,0.22213,0.16918,0.10467,1.64643,4.69042,1.40278,0.000775579,0.000775579,0.000775579
19,1092.5,1.48578,4.14394,1.34861,0.30503,0.26986,0.18102,0.10933,1.64008,4.60117,1.39087,0.000768811,0.000768811,0.000768811
20,1151.04,1.48989,4.19377,1.35419,0.47826,0.20771,0.19055,0.11655,1.66959,4.64919,1.38554,0.000761699,0.000761699,0.000761699
21,1209.22,1.4753,4.26798,1.35555,0.24442,0.22355,0.17017,0.09256,1.77984,4.81115,1.44501,0.000754251,0.000754251,0.000754251
22,1267.9,1.46494,4.06212,1.34338,0.36745,0.22391,0.17224,0.10134,1.75399,5.01778,1.42585,0.000746474,0.000746474,0.000746474
23,1326.65,1.46389,3.99589,1.34451,0.22244,0.26582,0.17229,0.0979,1.81731,4.82767,1.45786,0.000738375,0.000738375,0.000738375
24,1384.75,1.46042,4.01162,1.34249,0.21376,0.26777,0.18654,0.10762,1.72815,4.66702,1.41979,0.000729962,0.000729962,0.000729962
25,1443.35,1.44079,3.92727,1.32941,0.37068,0.24659,0.17458,0.10248,1.75415,5.08219,1.42235,0.000721244,0.000721244,0.000721244
26,1500.74,1.43064,3.84397,1.3075,0.26933,0.25739,0.18167,0.10962,1.67329,4.81619,1.3896,0.00071223,0.00071223,0.00071223
27,1559,1.44156,3.82006,1.32205,0.31902,0.21148,0.1691,0.10081,1.72134,4.9514,1.39561,0.000702928,0.000702928,0.000702928
28,1618.82,1.44976,3.7712,1.33005,0.29366,0.18373,0.1701,0.10574,1.71436,4.76538,1.40279,0.000693347,0.000693347,0.000693347
29,1677.85,1.41219,3.68751,1.31943,0.29232,0.21341,0.18645,0.112,1.70973,4.57102,1.39515,0.000683497,0.000683497,0.000683497
30,1735.93,1.41137,3.63927,1.3025,0.26886,0.26008,0.20009,0.12336,1.69283,4.49835,1.38667,0.000673388,0.000673388,0.000673388
31,57.8781,1.39887,3.6514,1.31481,0.34036,0.188,0.15949,0.09229,1.75238,5.13532,1.42399,0.000663029,0.000663029,0.000663029
32,114.713,1.36485,3.48767,1.28788,0.25538,0.25987,0.17335,0.10335,1.74336,4.7093,1.40542,0.000652432,0.000652432,0.000652432
33,171.931,1.37645,3.49813,1.28876,0.22997,0.26984,0.18305,0.10721,1.78976,4.65875,1.41673,0.000641605,0.000641605,0.000641605
34,230.527,1.36018,3.37814,1.29033,0.2082,0.27251,0.19783,0.11055,1.8115,4.79262,1.43341,0.000630561,0.000630561,0.000630561
35,287.718,1.35966,3.32646,1.28456,0.28409,0.27109,0.20415,0.12577,1.69262,4.6402,1.37236,0.000619309,0.000619309,0.000619309
36,345.284,1.34355,3.32226,1.2758,0.33248,0.25511,0.20119,0.11059,1.8128,4.86433,1.43605,0.000607861,0.000607861,0.000607861
37,402.462,1.34017,3.21723,1.25965,0.25406,0.24335,0.19621,0.11357,1.70505,4.71594,1.4086,0.000596229,0.000596229,0.000596229
38,458.52,1.37507,3.24261,1.2813,0.23726,0.21956,0.16661,0.10489,1.66636,5.05485,1.37084,0.000584423,0.000584423,0.000584423
39,516.945,1.36402,3.18878,1.26151,0.26532,0.25976,0.19049,0.10767,1.78047,4.7669,1.40775,0.000572456,0.000572456,0.000572456
40,573.288,1.38738,3.14557,1.28274,0.24936,0.27397,0.19774,0.11126,1.78828,4.74913,1.40251,0.000560339,0.000560339,0.000560339
41,631.438,1.35552,3.06697,1.26546,0.25551,0.30372,0.20888,0.12648,1.65677,4.66529,1.33906,0.000548084,0.000548084,0.000548084
42,690.312,1.35275,3.09999,1.27408,0.32766,0.26616,0.21218,0.12651,1.76439,4.84383,1.41402,0.000535703,0.000535703,0.000535703
43,748.202,1.33718,2.96917,1.26333,0.43051,0.2499,0.21928,0.13651,1.69062,4.77522,1.38029,0.000523209,0.000523209,0.000523209
44,806.369,1.32847,2.94019,1.25391,0.4318,0.24282,0.20214,0.12033,1.7011,4.76608,1.37437,0.000510613,0.000510613,0.000510613
45,865.055,1.31255,2.8117,1.24519,0.26325,0.28178,0.19844,0.11518,1.70483,4.88254,1.37413,0.000497929,0.000497929,0.000497929
46,924.037,1.3142,2.82631,1.24987,0.2928,0.2835,0.21229,0.12455,1.69858,4.8181,1.38833,0.000485168,0.000485168,0.000485168
47,981.61,1.29374,2.72059,1.23145,0.36494,0.23301,0.21692,0.1301,1.67916,4.72687,1.36874,0.000472344,0.000472344,0.000472344
48,1039.82,1.29952,2.67718,1.22876,0.40174,0.23198,0.21522,0.13321,1.65394,4.77265,1.36446,0.000459469,0.000459469,0.000459469
49,1098.27,1.27153,2.51817,1.2016,0.3496,0.23188,0.19696,0.12115,1.64759,4.85564,1.35234,0.000446556,0.000446556,0.000446556
50,1156.62,1.29888,2.64571,1.23178,0.414,0.20552,0.2033,0.12361,1.66526,4.77593,1.36167,0.000433617,0.000433617,0.000433617
51,1214.77,1.28096,2.61521,1.21972,0.32735,0.26857,0.21168,0.12284,1.72172,4.77895,1.38387,0.000420665,0.000420665,0.000420665
52,1272.09,1.27426,2.51341,1.21676,0.29115,0.26161,0.19527,0.11484,1.72948,5.04139,1.37545,0.000407713,0.000407713,0.000407713
53,1330.78,1.2614,2.47649,1.20461,0.24276,0.30257,0.20403,0.11893,1.78809,4.96863,1.40985,0.000394774,0.000394774,0.000394774
54,1388.78,1.27541,2.44731,1.20466,0.3331,0.23875,0.20954,0.12796,1.6569,4.78776,1.35565,0.000381861,0.000381861,0.000381861
55,59.6809,1.28575,2.57359,1.21835,0.26697,0.25403,0.19422,0.12058,1.76208,5.1428,1.42359,0.000368986,0.000368986,0.000368986
56,118.439,1.27775,2.50256,1.21305,0.2811,0.23304,0.19018,0.115,1.73843,5.20875,1.41379,0.000356162,0.000356162,0.000356162
57,177.819,1.26744,2.4484,1.20977,0.2681,0.24761,0.17685,0.0997,1.79358,5.16428,1.44794,0.000343401,0.000343401,0.000343401
