epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.56638,2.28061,25.5283,2.06457,0.05471,0.3125,0.05021,0.04758,1.19909,30.5776,1.25009,8.33e-06,8.33e-06,8.33e-06
2,5.20793,2.42844,29.054,2.3369,0.05477,0.3125,0.05021,0.04758,1.19931,30.8683,1.24085,2.49791e-05,2.49791e-05,2.49791e-05
3,6.69575,2.13014,25.5181,1.83487,0.04895,0.3125,0.05135,0.04682,1.21463,30.7057,1.23944,4.15777e-05,4.15777e-05,4.15777e-05
4,8.23873,2.13001,23.9308,1.72226,0.29089,0.25,0.13775,0.13329,1.24297,29.9042,1.29603,5.80824e-05,5.80824e-05,5.80824e-05
5,10.027,2.29669,21.23,1.84776,0.05627,0.5625,0.13795,0.13335,1.31226,34.727,1.33484,7.44503e-05,7.44503e-05,7.44503e-05
6,11.9364,1.9816,15.2083,1.66681,0.05747,0.0625,0.02263,0.01291,1.16131,83.3331,1.26274,9.06388e-05,9.06388e-05,9.06388e-05
7,13.6778,1.92318,11.9507,1.4789,0.55659,0.0625,0.04184,0.02873,1.22819,105.871,1.2706,0.000106606,0.000106606,0.000106606
8,15.4382,1.83432,11.3262,1.79311,0.57004,0.0625,0.02339,0.01886,1.343,84.9166,1.38641,0.00012231,0.00012231,0.00012231
9,17.3198,1.99874,11.1279,1.66638,0.1311,0.375,0.27512,0.07114,1.3895,73.6993,1.41301,0.000137711,0.000137711,0.000137711
10,19.0233,1.79824,8.55645,1.38606,0.067,0.375,0.15313,0.04582,1.5494,57.1646,1.5792,0.000152768,0.000152768,0.000152768
11,20.7658,1.92744,9.35956,1.61985,0.05911,0.6875,0.10173,0.04572,1.62345,45.0923,1.61165,0.000167444,0.000167444,0.000167444
12,22.4956,1.50324,6.90892,1.42307,0.78994,0.125,0.04833,0.03455,1.69159,37.8028,1.65013,0.0001817,0.0001817,0.0001817
13,24.1741,1.55564,7.61674,1.41583,0.79029,0.125,0.03538,0.02226,1.67248,36.4639,1.63963,0.000195499,0.000195499,0.000195499
14,25.8167,1.59303,7.61654,1.31247,0.78288,0.125,0.02256,0.01444,1.70341,32.1086,1.66296,0.000208808,0.000208808,0.000208808
15,27.5405,1.68623,6.76501,1.2725,0.7869,0.0625,0.0277,0.01408,1.67601,26.9076,1.65285,0.000221591,0.000221591,0.000221591
16,29.2049,1.51128,6.7836,1.45321,0.80746,0.0625,0.02361,0.01198,1.72743,22.7944,1.62181,0.000233818,0.000233818,0.000233818
17,31.0113,1.96763,7.22011,1.51973,0.8088,0.0625,0.02099,0.01133,1.61887,21.1172,1.49038,0.000245457,0.000245457,0.000245457
18,32.6099,1.69283,6.5014,1.29947,0.54359,0.125,0.0322,0.01643,1.5751,21.8781,1.40203,0.00025648,0.00025648,0.00025648
19,34.4515,1.79458,7.45363,1.55286,0.55467,0.125,0.03153,0.01582,1.67931,22.093,1.39832,0.00026686,0.00026686,0.00026686
20,36.2716,1.54997,6.58636,1.23421,0.56568,0.125,0.03603,0.01807,1.63764,19.6383,1.42153,0.000276573,0.000276573,0.000276573
21,38.0147,1.71764,6.72989,1.35486,0.29639,0.125,0.0259,0.01385,1.69931,18.3162,1.47527,0.000285594,0.000285594,0.000285594
22,39.8074,1.63796,5.21765,1.26689,0.28248,0.125,0.02115,0.01209,1.69256,27.7215,1.57381,0.000293904,0.000293904,0.000293904
23,41.6044,1.44454,4.86755,1.19477,0.28295,0.125,0.01875,0.01027,1.72618,58.6958,1.6481,0.000301483,0.000301483,0.000301483
24,43.4658,1.74532,5.31895,1.18657,0.00928,0.375,0.01329,0.00799,1.821,83.3791,1.76319,0.000308315,0.000308315,0.000308315
25,45.1844,1.30615,4.97228,1.26804,0.00926,0.375,0.01028,0.00549,1.82146,55.7777,1.74787,0.000314387,0.000314387,0.000314387
